active;label;asset;liquidity;risk_factor;account_category;asset_medium;platform;investment_type;notes;25/07/2021;04/09/2021;17/10/2021;12/11/2021;25/11/2021;19/12/2021;31/12/2021;01/03/2022;15/03/2022;14/05/2022;27/05/2022;17/06/2022;16/07/2022;14/08/2022;27/08/2022;07/10/2022;12/11/2022;02/12/2022;01/03/2023;29/03/2023;07/04/2023;13/05/2023;14/07/2023;06/08/2023;04/09/2023;15/09/2023;20/11/2023;27/11/2023;15/12/2023;27/12/2023;16/02/2024;25/02/2024;09/03/2024;17/03/2024;07/05/2024;21/05/2024;20/07/2024;07/08/2024;10/08/2024;26/08/2024;29/10/2024;11/11/2024;12/11/2024;17/11/2024;22/11/2024;26/12/2024;31/12/2024;19/01/2025;11/02/2025;08/03/2025;11/03/2025;26/04/2025;10/05/2025;23/05/2025;01/06/2025;14/06/2025;22/06/2025;27/06/2025;21/07/2025;03/09/2025;15/09/2025;13/10/2025;26/10/2025;28/10/2025;05/11/2025;11/11/2025;24/11/2025;07/12/2025;11/01/2026;18/01/2026;01/02/2026;08/02/2026;02/03/2026;16/03/2026;22/03/2026;11/04/2026;22/04/2026;03/05/2026;05/05/2026;12/05/2026
1;yoga;Rupiah;"VERY HIGH";"LOW RISK";"Bond Equiv";Rupiah;SEABANK;Cash;cash;;;;;;;7029127;6101862;;8015808;50525000;50230138;9560038;6381302;6564782;41436185;295257275;279991761;55140545;59348059;25423662;7865448;1696354;12980054;100476;40540;1021597;1021612;1027301;1085017;178824;;;;;;;;;;;;;;;;;;;;;84606331;3401799;3076604;16114;1123899;1036917;461956;;18085599;17633478;221106;6014008;6014008;6017165;1021840;1022232;1022991;1025077;1025565;8647;8115;5009;1867;1867;12996;12536;1903343;1903343;1903343
1;aya;Rupiah;"VERY HIGH";"LOW RISK";"Bond Equiv";Rupiah;JAGO;Cash;"Kantong Nabung Investasi";;;;;;;;;;;;;;;1803380;3664;6948325;2010591;5019740;14088319;;9362683;14909677;13242429;429;3020192;6204718;6204718;6714018;6714018;1777943;777943;1481702;1481702;1350533;533;5325;9436;9436;9436;15716;;;;;152550;155696;6857;48180;12344098;12344098;;;;;;;;2787533;;;;;;;;18340;;18394;18394;18907;;1168;;;;0;0;0;0
1;aya;Rupiah;"VERY LOW";"LOW RISK";"Bond Equiv";Rupiah;Krom;"Deposito Bank Digital";"Krom Max";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5008238;5008238;5008238;5008238;5008238;40060647;40067410;5084802;5084802;5084802;5084802;5084802;5084802;5084802;5084802
1;yoga;VWRA;LOW;"MEDIUM RISK";"Stock Equiv";Stock;IBKR;"Stock ETF";VWRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39206896;40253640;75036404;74288214;74374206;72310567;66004995;68311152;68836539;68625723;68955345;69691063;68151844;71578177;81149398;84232015;117522636;117522636;119951582
1;yoga;ICLN;HIGH;"MEDIUM RISK";"Alternativ Equiv";Stock;IBKR;"Stock ETF";ICLN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9237195;9538804;9869107;9982115;10396135;10065568;8969136;8879826;9349261;9855959;0;0;0
1;yoga;"US Dollar";LOW;"VERY LOW RISK";"Bond Equiv";"US Dollar";IBKR;Cash;cash;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39152474;39206580;4736912;4749700;4778751;4766485;4758701;4876770;4899552;4850416;4898377;4879058;4947634;23060;18627;18737;42633;42859;42845
1;yoga;PaxGold;HIGH;"HIGH RISK";"Physical Equiv";Gold;BINANCE;"Gold Token";PaxGold;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;777205;780892;1246510;1300323;1319414;1293231;1306542;18813853;;20347182;;;;;;;;;;13462848;13321547;13095420;58707282;123538110;122147073;116828559;120704246;69825221;71535549;80886000;81654060;63491064;64082357;66568474;67200398;69776709;75553212;77493947;75685352;78081207;84705376;48693688;43922734;46426782;46869172;45179061;44711870;46846678
1;aya;Gold;HIGH;"VERY LOW RISK";"Physical Equiv";Gold;PEGADAIAN;Gold;"Tabungan Pegadaian Emas";;;;;;;;;;;;;;;;;;;;;;;;;;;;2451603;2488920;2649210;2604940;;;1350000;;2917497;4532834;5335416;5339446;6081008;10098151;9979736;9749485;9657385;9920529;9999472;9966579;10440238;11130991;11117834;10111308;13065100;12683541;12565126;12420397;21716477;21512847;21129545;21345152;22578907;23201773;26148411;27394143;26795233;26292149;26567648;26579626;27166558;29346590;30065282;32113554;32544769;35371625;33538960;32353118;32053663;31251124;30802823;30437329;31919987
1;yoga;Bitcoin;HIGH;"HIGH RISK";"Alternativ Equiv";Bitcoin;BINANCE;"Exchange Earn";Bitcoin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17580983;20040680;23170605;24897934;;1671968;3350753;3116927;8605029;16891721;32241400;30327740;46272468;51341007;54133667;52459079;53358692;51776705;118754427;109135446;105481063;108923252;110541354;107125070;114351497;102820210;96871185;92954989;101445973;104076388;109733223;90436944;79880694;80567262;96922954;63845654;66774785;72071174;72815224;75515691;76067927
1;yoga;Bitcoin;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Bitcoin;MEXC;"Exchange Earn";Bitcoin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17835260;18767888;20316964;20599631;21274010;21446365
1;yoga;Bitcoin;HIGH;"HIGH RISK";"Alternativ Equiv";Bitcoin;OKX;"Exchange Earn";Bitcoin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11882975;12462365;13471225;13716455;14229636;14286531
1;yoga;USDT;HIGH;"HIGH RISK";"Bond Equiv";"US Dollar";BINANCE;"USD Token Binance Earn";"USDT/USDC Earn";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2905191;2891428;;24699758;6932028;10115390;10111390;386747;;24450000;24630000;34515377;18039840;17815790;29362912;14350140;14492554;32034420;39815920;63695233;3282200;3301808;5060790;5033436;5072852;12462744;12451946;12449994;15934890;15995914;11724830;11783006;6721304;14872288;6793218;6866652;6910380;19156;19257;19259
1;yoga;USDT;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar";MEXC;"USDT MEXC Earn";USDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4210672;26674351;30164495;38200003;32623474;33859315;53638331;53921647;53904501
1;yoga;USDT;HIGH;"HIGH RISK";"Bond Equiv";"US Dollar";OKX;"USDT OKX EARN";USDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8412593;8539195;8536210;8653680;8727363;8825668;8871947;8881553
1;"Wallet …3688";USDT;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar";"Fluid Arbitrum";"Lending Protocol";"Stablecoin Lending";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56750150;58471253;41399275;57490100;57957674;;;;;;;;14541623;50338456;50480236;;;10714740;10786328;;;;;;;;;;;;0;0;0;0
1;yoga;WBETH;HIGH;"HIGH RISK";"Alternativ Equiv";Crypto;BINANCE;Crypto;WBETH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15002862;10639208;11085671;11691578;11509583;13899813;14651067;13968646;7509532;;;;;;;;;;;;;;;;;;;;;;;;2003356;2130534;1574649;1348271;1245532;1419094;1396835;1475490;1578902;1539304;1539304;1527004
1;yoga;USDC;HIGH;"VERY HIGH RISK";"Bond Equiv";"US Dollar";MEXC;"USDC MEXC Earn";USDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7083219;7223212;7221001;5152766;5206404;5251751;5279469;5278124
1;yoga;USDC;HIGH;"HIGH RISK";"Bond Equiv";"US Dollar";OKX;"USDC OKX EARN";USDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8412089;8536647;8534633;8648895;8725644;8825098;8871247;8881414
1;"Wallet …3688";USDC;MEDIUM;"VERY HIGH RISK";"Alternativ Equiv";"US Dollar";Polymarket;"Prediction Market";Polymarket;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3366951;3365197;5445954;832668;839025;882092;2621873;2668326;16545338;16515144;15830502;15852274;0;0;0
1;yoga;Xaut;HIGH;"VERY HIGH RISK";"Physical Equiv";Gold;MEXC;"Gold Token";Xaut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5458484;5513904;5405806;5339220;5592868
0;yoga;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;KOPERASI;Koperasi;"Tabungan Koperasi BPS";;;;;;;;;;;;;;;;;;;;;;;;;;;;200000;1700000;1700000;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"VERY LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;Cash;cash;;;;;;;;;;;;;;;100191;79814;;;;182560;182560;172561;162561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;"VERY HIGH";"LOW RISK";"Bond Equiv";Rupiah;JAGO;Cash;"Kantong Nabung Investasi";1957164;;10719705;364711;980870;11630368;7893;7911;;;;2000000;10687;13045834;49356;787762;6948325;6957484;76201;2597106;3497106;39540378;27329846;1395098;5629;2747816;5050000;52500;56451;;1500923;679912;1352109;1352109;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"VERY LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA (MM)";"Prospera dana lancar";;;;14516250;14540142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"VERY LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA (MM)";"Securinvost Bond Found";6143193;5248229;5256377;5304244;5312595;5298744;5334152;5376587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA FI";"Danamas Stabil";;;;;;;;;;;;;;35047397;52738404;60094779;100572563;100876070;101363593;102670026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"VERY LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA (MM)";"Sucorinvest Sharia Money Market Fund";;1805571;1814662;1820758;1823619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;BIBIT;"REKSADANA (MM)";Bibit;;;1000000;996984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA FI";"Sucorinvest Stable Fund";;;;;;;;;;;;;;7002757;12025478;42949636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA FI";"MNC Dana Liquid";;;;;;;;;;;;;;13416737;30407793;37545909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA FI";"MNC Dana Syariah";;;;;;;;;;;;;;7007692;7010049;24740606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA FI";"Sucorinvest Bond Found";;;;;;;;;;;;;;8046775;20063847;20093721;20079105;20461829;20467983;19892294;19970378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"VERY LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA (MM)";"Capital Money Market Fund";;;;;;;;;;;;;;5004725;5011918;10152944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"VERY LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA (MM)";"Propspera Dana Lancar";;;;;;;;;;;;;;5006698;10014506;10051649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"VERY LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;"REKSADANA (MM)";"Sucorinvest Sharia Money Market Fund";;;;;;;;;;;;;;7006702;7016699;7044233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;LOW;"HIGH RISK";"Stock Equiv";Rupiah;EASYCASH;"P2P KONSUMTIF";easycash;;;;;;;;;;;;;;11025868;11085744;11182155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;LOW;"HIGH RISK";"Stock Equiv";Rupiah;INVESTREE;"P2P PRODUKTIF";Investree;214000000;246000000;288000000;292000219;294054326;304484942;305788710;319401223;327707489;323558074;340728854;328280752;331805958;241996323;195953306;98274756;83656137;55572174;44915543;39312450;38946217;38946217;38946217;38946217;38946217;38946217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;LOW;"HIGH RISK";"Stock Equiv";Rupiah;AMARTHA;"P2P PRODUKTIF";Amartha;;;;;;;4055000;4133330;;6292660;6335280;15492440;15637910;15898690;15984630;16256540;12523112;12632110;10577342;9065900;5317503;5439769;5383839;1392762;1402792;1403183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;LOW;"HIGH RISK";"Stock Equiv";Rupiah;KOINWORKS;"P2P PRODUKTIF";Koinworks;;;8000000;8000000;8063622;8152497;8154538;8384802;;6838530;7060917;8917170;9004849;9030624;9073065;4926598;3395024;3517746;2333477;2534687;2177283;2336427;2367285;1837384;1849470;1853117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;"VERY LOW";"VERY LOW RISK";"Bond Equiv";Rupiah;"MANDIRI SEKURITAS";OBLIGASI;ST07;1000000;1000000;1000000;1000000;1000000;1000000;1035290;1035290;;1035290;1035290;1035290;1035290;1035290;1035290;1035290;1035290;1080478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;INDODAX;Cash;RP/USDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1615788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;aya;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;BIBIT;"REKSADANA FI";"Trimegah Dana Tetap Syariah Kelas A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10037536;10042043;10056656;10164627;10272598;10301153;34702607;34751942;34779926;34719134;34871473;34911303;34867949;35100054;35106504;;;;;;;;;;
0;aya;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;"Koperasi BPS";Koperasi;"Tabungan Koperasi BPS";;;;;;;;;;;;;;;;;;;;;;;;;;;;200000;3075000;3075000;2925000;3015000;5940000;5940000;11970000;11970000;23523800;26538800;26538800;26628800;22658000;24148000;24148000;24148000;24148000;25818800;25818800;27308800;40863800;2328800;2328800;3793800;5258800;5258800;5258800;6723800;6723800;6723800;8188800;153800;153800;1593000;;;;;;;;;;;;;;;;;;
0;aya;Rupiah;"VERY LOW";"MEDIUM RISK";"Bond Equiv";Rupiah;"Koperasi BPS";"Deposito Koperasi";"Deposito Koperasi BPS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;aya;Rupiah;"VERY HIGH";"LOW RISK";"Bond Equiv";Rupiah;JAGO;Cash;"Kantong Nabung Rumah-Kontrakan";;;;;;;;;;;;;;;;;;;;;;;3910166;1617178;3617178;5024035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;aya;Rupiah;"VERY HIGH";"VERY LOW RISK";"Bond Equiv";Rupiah;INDOPREMIER;Cash;cash;;;;;;;;180146;;;;8309745;58301430;64093;64093;43879;5010997;5010997;5386345;5386345;16318317;16318317;16318953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;aya;Rupiah;HIGH;"LOW RISK";"Bond Equiv";Rupiah;JAGO;"Deposito Bank Digital";"Kantong Terkunci";;;;;;;;;;;;;;;26022587;26113942;26189398;26240629;26323068;26525563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;aya;Rupiah;LOW;"HIGH RISK";"Stock Equiv";Rupiah;INVESTREE;"P2P PRODUKTIF";Investree;;;;;;;;76558334;;66012240;20000000;12000000;12518803;9021606;9021606;9021606;9021607;9021607;9021607;9021607;8807064;8807064;8807064;8807064;8807064;8807064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
